YEAR,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
2023-24,De'Andre Hunter,ATL,24.0,30.3,14.9,5.1,11.0,46.0,1.9,4.8,40.4,2.8,3.1,90.7,0.6,3.5,4.1,1.4,0.8,0.4,1.5,13.8
2023-24,Cole Anthony,ORL,29.0,25.2,14.9,5.0,11.1,45.0,1.4,3.8,36.0,3.5,4.1,84.2,1.1,3.3,4.4,3.7,0.8,0.4,1.7,15.7
2023-24,Immanuel Quickley,NYK,28.0,23.8,14.9,5.0,11.3,44.8,2.0,5.4,38.0,2.8,3.2,86.5,0.2,2.5,2.7,2.5,0.6,0.1,1.0,13.1
2023-24,OG Anunoby,TOR,25.0,33.4,14.8,5.6,11.9,47.5,2.2,6.1,36.8,1.3,1.8,72.7,0.9,3.0,3.9,2.7,1.0,0.5,1.6,14.6
2023-24,Jonas Valanciunas,NOP,31.0,27.9,14.7,5.8,10.2,57.3,0.7,2.0,36.1,2.4,3.0,78.5,2.5,7.5,9.9,2.5,0.6,1.3,1.5,22.5
2023-24,Brandon Miller,CHA,25.0,31.4,14.6,5.6,12.8,43.6,1.9,5.0,37.6,1.5,1.9,79.2,0.9,3.1,4.0,2.2,0.6,0.5,1.7,12.6
2023-24,Gordon Hayward,CHA,25.0,31.9,14.5,5.6,11.9,46.8,0.9,2.4,36.1,2.5,3.2,76.5,1.0,3.7,4.7,4.6,1.1,0.5,2.0,16.3
2023-24,Max Strus,CLE,30.0,34.7,14.3,5.0,12.5,40.4,2.9,8.3,34.8,1.3,1.6,79.6,0.7,4.4,5.1,3.9,0.9,0.5,1.7,15.3
2023-24,Dennis Schroder,TOR,29.0,32.1,14.2,5.1,12.0,42.1,1.6,4.6,35.3,2.5,2.9,86.7,0.5,2.3,2.8,6.8,1.1,0.1,1.8,15.9
2023-24,Spencer Dinwiddie,BKN,29.0,31.9,14.2,4.7,11.7,39.8,2.0,6.3,32.2,2.9,3.8,76.4,0.6,3.4,4.0,6.6,0.9,0.2,1.7,16.3
2023-24,Malik Monk,SAC,28.0,24.8,14.0,4.6,11.0,42.3,2.5,6.3,40.1,2.2,2.5,88.6,0.4,2.1,2.5,5.1,0.6,0.6,2.1,14.1
2023-24,John Collins,UTA,27.0,29.7,13.9,5.2,10.9,47.6,1.4,3.6,39.8,2.1,2.6,78.9,2.3,5.6,8.0,0.8,0.6,0.9,1.6,16.3
2023-24,Jabari Smith Jr.,HOU,28.0,30.8,13.8,5.2,10.5,49.3,1.6,4.4,37.1,1.8,2.3,81.0,2.0,6.7,8.8,1.6,0.5,0.9,1.2,18.6
2023-24,Khris Middleton,MIL,25.0,24.1,13.8,5.4,11.2,47.9,1.6,4.2,36.8,1.5,1.8,82.6,0.7,4.0,4.7,4.2,0.8,0.1,1.9,15.5
2023-24,P.J. Washington,CHA,25.0,29.8,13.8,5.1,12.0,42.5,1.8,5.9,31.3,1.7,2.2,76.8,1.3,4.1,5.4,2.4,1.0,0.8,1.5,14.5
2023-24,Jaime Jaquez Jr.,MIA,30.0,28.9,13.7,5.3,10.3,51.6,1.1,2.9,37.9,2.0,2.3,85.7,1.3,2.6,3.9,2.5,1.0,0.3,1.6,14.6
2023-24,Aaron Gordon,DEN,28.0,32.0,13.6,5.5,10.5,52.5,0.5,1.9,25.0,2.0,3.4,60.6,2.8,4.0,6.9,3.4,1.0,0.6,1.5,17.6
2023-24,Dillon Brooks,HOU,28.0,30.9,13.6,5.0,10.6,47.6,1.9,4.6,40.8,1.6,1.9,83.3,0.7,2.8,3.5,1.7,0.9,0.0,1.7,12.2
2023-24,Bennedict Mathurin,IND,29.0,24.9,13.4,4.8,10.8,43.9,1.3,3.5,36.6,2.6,3.0,85.2,1.1,2.7,3.7,2.0,0.6,0.2,1.5,11.9
2023-24,Jarrett Allen,CLE,25.0,29.2,13.3,5.5,8.2,67.6,0.0,0.0,0.0,2.2,3.3,68.3,3.0,5.6,8.6,2.5,0.8,0.9,1.8,20.7
2023-24,Buddy Hield,IND,29.0,26.6,13.3,4.9,11.1,43.9,2.9,7.7,37.9,0.6,0.7,85.7,0.8,2.6,3.3,2.7,0.8,0.7,1.5,13.0
2023-24,Eric Gordon,PHX,25.0,31.7,13.2,5.0,11.0,45.7,2.5,6.4,38.5,0.7,0.8,81.0,0.3,1.8,2.1,2.8,1.0,0.5,1.4,12.1
2023-24,Jrue Holiday,BOS,27.0,34.4,13.1,5.0,10.8,46.6,1.9,4.6,41.9,1.1,1.3,85.7,1.7,5.0,6.7,4.9,0.9,0.9,2.0,18.5
2023-24,Deandre Ayton,POR,24.0,31.7,13.1,6.0,10.9,54.8,0.0,0.0,0.0,1.2,1.5,77.8,3.4,7.3,10.8,1.6,1.2,0.7,2.1,19.9
2023-24,Norman Powell,LAC,30.0,25.4,13.1,4.5,9.1,49.6,1.9,4.3,44.2,2.2,2.5,87.8,0.2,2.0,2.2,1.0,0.6,0.4,0.9,11.5
2023-24,Brook Lopez,MIL,30.0,30.9,13.0,4.8,9.8,49.0,1.7,5.0,33.8,1.7,2.1,82.5,1.5,3.4,4.9,1.3,0.8,2.9,0.9,16.7
2023-24,Grayson Allen,PHX,24.0,33.3,13.0,4.4,9.0,48.8,2.5,5.4,45.4,1.7,1.9,89.1,0.9,3.6,4.5,2.7,1.0,0.5,1.4,15.5
2023-24,Saddiq Bey,ATL,30.0,32.2,12.9,4.7,10.3,45.8,1.8,5.3,34.4,1.7,2.1,79.7,2.2,4.2,6.4,1.3,1.1,0.1,1.1,14.8
2023-24,Zach Collins,SAS,29.0,26.7,12.9,4.9,10.0,48.6,1.2,3.7,32.1,2.0,2.4,81.4,2.0,4.1,6.0,3.4,0.6,0.8,2.4,15.7
2023-24,Bobby Portis,MIL,30.0,24.2,12.8,5.3,10.3,51.3,1.0,2.9,35.6,1.3,1.5,82.6,1.8,5.1,7.0,1.1,0.8,0.5,1.0,15.9
2023-24,Naz Reid,MIN,29.0,22.1,12.7,4.8,9.6,49.5,1.9,4.7,39.4,1.3,1.4,92.9,1.1,3.4,4.5,1.0,0.7,0.6,1.3,13.2
