Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
375.0,Cedi Osman,SF,28,SAS,60,1.0,17.7,2.6,5.4,0.472,1.2,3.1,0.38,1.4,2.3,0.597,0.581,0.6,0.8,0.68,0.4,2.1,2.5,1.8,0.5,0.2,0.7,1.5,6.9
376.0,Kelly Oubre Jr.,SF,28,PHI,46,33.0,28.9,5.1,11.3,0.453,1.4,4.4,0.309,3.8,6.9,0.546,0.513,2.0,2.8,0.729,1.2,3.2,4.5,1.1,1.2,0.5,1.0,3.0,13.7
377.0,Chris Paul,PG,38,GSW,35,11.0,27.3,3.3,7.7,0.428,1.5,3.8,0.381,1.8,3.9,0.474,0.522,1.1,1.3,0.826,0.3,3.5,3.8,7.1,1.3,0.1,1.2,1.8,9.1
378.0,Cameron Payne,PG,29,TOT,56,3.0,15.6,2.4,5.3,0.445,1.2,3.0,0.388,1.2,2.3,0.519,0.555,0.8,1.0,0.852,0.2,1.1,1.3,2.5,0.4,0.1,0.7,1.5,6.8
379.0,Gary Payton II,SG,31,GSW,25,0.0,15.4,2.4,4.7,0.521,0.5,1.6,0.333,1.9,3.1,0.615,0.577,0.4,0.5,0.692,1.2,1.7,3.0,1.0,1.1,0.4,0.5,1.6,5.8
380.0,Drew Peterson,PF,24,BOS,1,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,,
381.0,Filip Petrušev,C,23,TOT,3,0.0,3.3,0.3,0.7,0.5,0.0,0.0,0.3,0.7,0.5,0.5,0.3,0.7,0.5,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,1.0,
382.0,Julian Phillips,SF,20,CHI,34,0.0,7.2,0.7,1.7,0.414,0.2,0.8,0.259,0.5,0.9,0.548,0.474,0.2,0.4,0.571,0.3,0.5,0.8,0.4,0.1,0.2,0.2,1.0,1.9
383.0,Jalen Pickett,SG,24,DEN,20,0.0,5.4,0.6,1.5,0.4,0.4,1.1,0.318,0.3,0.4,0.625,0.517,0.2,0.2,0.75,0.1,0.5,0.6,0.7,0.2,0.0,0.4,0.6,1.7
384.0,Scotty Pippen Jr.,PG,23,MEM,8,4.0,22.6,3.5,7.4,0.475,1.6,2.9,0.565,1.9,4.5,0.417,0.585,1.9,2.6,0.714,1.0,2.4,3.4,4.5,1.0,0.5,1.9,2.6,10.5
