Rk	First Name	Last Name	Pos	Age	Tm	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS
305.0	Jordan	McLaughlin	PG	27	MIN	17	0.0	8.1	0.9	2.2	0.405	0.5	1.3	0.364	0.4	0.9	0.467	0.514	0.2	0.2	0.75	0.2	0.6	0.8	1.6	0.7	0.2	0.1	0.3	2.4
306.0	De'Anthony	Melton	SG	25	PHI	32	32.0	29.2	4.0	10.0	0.398	2.1	5.8	0.368	1.8	4.2	0.44	0.505	1.9	2.3	0.827	0.8	3.2	4.0	3.2	1.7	0.5	1.2	2.4	12.0
308.0	Sam	Merrill	SG	27	CLE	22	0.0	14.5	2.4	6.1	0.396	2.1	5.2	0.412	0.3	0.9	0.3	0.571	0.3	0.3	0.857	0.4	1.5	1.9	1.3	0.3	0.0	0.3	1.1	7.2
309.0	Chimezie	Metu	C	26	PHO	28	5.0	13.1	2.0	4.0	0.509	0.5	1.7	0.292	1.5	2.3	0.672	0.571	1.2	1.3	0.892	0.8	2.3	3.0	0.5	0.6	0.2	0.8	1.0	5.8
310.0	Vasilije	Micić	PG	30	OKC	17	0.0	12.4	1.1	3.1	0.358	0.4	1.8	0.2	0.8	1.4	0.565	0.415	0.4	0.5	0.75	0.1	0.6	0.7	3.1	0.4	0.2	0.7	1.1	2.9
311.0	Khris	Middleton	SF	32	MIL	33	33.0	25.3	5.5	11.4	0.484	1.7	4.5	0.374	3.8	6.9	0.555	0.557	1.7	2.0	0.836	0.6	3.7	4.3	5.0	0.8	0.2	2.1	2.2	14.4
312.0	Brandon	Miller	SF	21	CHO	31	25.0	30.9	5.4	12.8	0.421	2.1	5.5	0.379	3.3	7.4	0.452	0.501	1.5	1.9	0.81	0.8	3.0	3.8	2.2	0.6	0.5	1.6	2.7	14.4
315.0	Dariq	Whitehead	SF	19	BRK	2	0.0	12.0	0.5	2.5	0.2	0.0	1.5	0.0	0.5	1.0	0.5	0.2	0.5	1.0	0.5	0.0	2.0	2.0	1.5	0.0	0.5	0.0	0.0	1.5
317.0	Shake	Milton	SG	27	MIN	31	0.0	13.5	1.7	4.3	0.396	0.4	1.6	0.265	1.3	2.7	0.471	0.444	1.2	1.4	0.818	0.2	1.3	1.4	1.3	0.5	0.1	0.8	1.3	5.0
318.0	Justin	Minaya	SF	24	POR	8	0.0	8.0	0.6	1.9	0.333	0.3	1.0	0.25	0.4	0.9	0.429	0.4	0.3	0.5	0.5	0.6	0.4	1.0	0.3	0.3	0.4	0.3	0.4	1.8
319.0	Josh	Minott	SF	21	MIN	14	0.0	2.6	0.6	1.1	0.533	0.0	0.4	0.0	0.6	0.7	0.8	0.533	0.6	0.7	0.8	0.1	0.1	0.2	0.2	0.0	0.1	0.1	0.3	1.7
320.0	Davion	Mitchell	PG	25	SAC	30	3.0	12.3	1.3	3.6	0.358	0.5	1.9	0.246	0.8	1.7	0.481	0.422	0.4	0.5	0.733	0.1	0.8	0.9	1.8	0.2	0.1	0.5	1.1	3.4
321.0	Donovan	Mitchell	SG	27	CLE	28	28.0	35.9	9.6	21.1	0.457	3.1	9.0	0.349	6.5	12.1	0.537	0.531	5.4	6.2	0.874	1.1	4.5	5.5	5.7	1.9	0.5	2.8	2.2	27.9
322.0	Evan	Mobley	PF	22	CLE	21	21.0	33.6	6.8	11.8	0.573	0.1	0.5	0.2	6.7	11.3	0.588	0.577	2.4	3.1	0.769	2.7	7.8	10.5	2.9	0.8	1.7	2.3	2.9	16.0
324.0	Malik	Monk	SG	25	SAC	36	0.0	25.6	5.1	11.4	0.446	2.6	6.4	0.407	2.5	5.0	0.497	0.561	2.2	2.5	0.878	0.4	2.2	2.6	5.4	0.6	0.7	2.1	1.9	15.0
325.0	Moses	Moody	SG	21	GSW	34	4.0	18.0	3.1	6.5	0.482	1.1	3.1	0.358	2.0	3.4	0.595	0.568	1.3	1.7	0.789	1.1	2.0	3.1	0.8	0.7	0.3	0.7	1.4	8.7
327.0	Wendell	Moore	Jr.	SG	22	MIN	8.0	0.0	2.8	0.1	0.4	0.333	0.0	0.3	0.0	0.1	0.1	1.0	0.333	0.0	0.0	0.0	0.4	0.4	0.1	0.1	0.1	0.3	0.1	0.3
328.0	Ja	Morant	PG	24	MEM	9	9.0	35.3	8.9	18.9	0.471	1.6	5.7	0.275	7.3	13.2	0.555	0.512	5.8	7.1	0.813	0.7	4.9	5.6	8.1	0.8	0.6	3.0	2.1	25.1
329.0	Marcus	Morris	PF	34	PHI	28	5.0	16.0	2.3	5.1	0.458	1.0	2.4	0.426	1.3	2.6	0.486	0.56	0.8	1.0	0.852	0.5	2.2	2.7	0.8	0.4	0.4	0.4	1.8	6.5
330.0	Markieff	Morris	PF	34	DAL	16	1.0	9.4	0.9	2.9	0.319	0.6	1.8	0.321	0.4	1.2	0.316	0.415	0.2	0.3	0.75	0.3	1.5	1.8	0.7	0.3	0.1	0.6	0.7	2.6
331.0	Trey	Murphy	III	SF	23	NOP	15.0	2.0	25.9	4.6	10.1	0.454	2.7	6.7	0.406	1.9	3.4	0.549	0.589	1.9	2.2	0.848	0.5	3.3	3.7	2.1	0.7	0.4	0.6	1.1
332.0	Dejounte	Murray	SG	27	ATL	36	36.0	34.7	8.1	17.3	0.466	2.4	6.1	0.394	5.7	11.2	0.505	0.535	2.6	3.1	0.814	0.8	3.8	4.6	5.0	1.4	0.3	2.1	1.7	21.1
333.0	Jamal	Murray	PG	26	DEN	25	25.0	30.0	7.6	16.1	0.47	2.4	5.8	0.41	5.2	10.3	0.504	0.544	3.0	3.4	0.893	0.6	3.2	3.8	6.2	1.0	0.8	1.8	2.1	20.5
334.0	Keegan	Murray	SF	23	SAC	33	33.0	32.9	6.1	13.1	0.467	2.5	6.8	0.372	3.6	6.4	0.567	0.562	1.4	1.7	0.825	1.4	4.2	5.5	1.6	1.2	0.5	0.9	2.6	16.2
335.0	Kris	Murray	SF	23	POR	21	0.0	12.0	1.3	3.6	0.368	0.5	1.8	0.289	0.8	1.8	0.447	0.441	0.3	0.4	0.75	0.9	1.2	2.0	0.6	0.8	0.1	0.3	0.7	3.5
336.0	Mike	Muscala	C	32	WAS	24	2.0	14.1	1.4	3.8	0.367	0.6	2.1	0.275	0.8	1.6	0.487	0.444	0.6	0.8	0.75	0.9	2.2	3.1	0.9	0.2	0.3	0.7	1.3	4.0
337.0	Svi	Mykhailiuk	SF	26	BOS	17	0.0	8.1	0.8	2.6	0.295	0.5	2.1	0.229	0.3	0.5	0.556	0.386	0.2	0.4	0.5	0.2	0.7	0.9	0.4	0.4	0.0	0.4	0.6	2.2
338.0	Larry	Nance	Jr.	C	31	NOP	21.0	0.0	16.8	1.9	3.5	0.534	0.4	0.9	0.421	1.5	2.6	0.574	0.589	0.6	0.9	0.667	1.5	3.7	5.2	1.0	1.0	0.4	1.0	1.2
339.0	Andrew	Nembhard	PG	24	IND	25	8.0	19.9	3.3	6.9	0.474	0.6	2.1	0.308	2.6	4.8	0.545	0.52	0.3	0.4	0.727	0.6	1.1	1.7	4.0	0.9	0.0	1.8	2.1	7.5
340.0	Aaron	Nesmith	SF	24	IND	35	10.0	25.5	4.2	8.3	0.51	2.1	4.6	0.456	2.1	3.7	0.577	0.636	1.2	1.6	0.719	0.8	2.4	3.3	1.1	1.1	0.7	0.9	3.2	11.7
341.0	Georges	Niang	PF	30	CLE	37	1.0	22.0	3.2	7.7	0.415	1.7	4.8	0.35	1.5	2.9	0.523	0.525	0.5	0.6	0.857	0.4	3.4	3.8	1.2	0.3	0.2	0.8	2.4	8.5
342.0	Daishen	Nix	PG	21	MIN	6	0.0	3.5	0.5	1.3	0.375	0.3	0.8	0.4	0.2	0.5	0.333	0.5	0.0	0.3	0.0	0.0	0.2	0.2	0.0	0.2	0.0	0.0	0.0	1.3
343.0	Zeke	Nnaji	PF	23	DEN	33	0.0	9.9	1.2	2.5	0.482	0.2	0.5	0.333	1.1	2.1	0.515	0.512	0.8	1.2	0.641	1.2	1.1	2.2	0.5	0.2	0.6	0.6	1.6	3.3
344.0	Jaylen	Nowell	SG	24	MEM	9	1.0	17.3	2.4	6.1	0.4	0.4	2.6	0.174	2.0	3.6	0.563	0.436	0.3	0.3	1.0	0.3	1.2	1.6	1.8	0.3	0.0	0.6	1.4	5.7
346.0	Jusuf	Nurkić	C	29	PHO	36	36.0	27.9	4.7	9.6	0.484	0.6	2.1	0.273	4.1	7.5	0.544	0.514	2.5	3.5	0.714	2.8	7.5	10.3	3.5	0.9	1.1	1.9	3.3	12.4
347.0	Jordan	Nwora	SF	25	IND	15	0.0	9.9	2.2	4.4	0.5	0.7	1.9	0.357	1.5	2.5	0.605	0.576	0.5	0.6	0.889	0.5	1.4	1.9	0.9	0.3	0.1	0.7	1.1	5.6
348.0	Royce	O'Neale	SF	30	BRK	37	6.0	25.2	2.5	6.6	0.382	1.9	5.3	0.367	0.6	1.4	0.44	0.528	0.3	0.5	0.611	0.8	3.7	4.6	3.1	0.8	0.6	1.1	2.4	7.3
349.0	Chuma	Okeke	SF	25	ORL	20	3.0	10.5	0.8	2.5	0.327	0.6	1.9	0.289	0.3	0.6	0.455	0.439	0.0	0.1	0.0	0.5	2.0	2.5	0.6	0.2	0.2	0.4	0.5	2.2
350.0	Josh	Okogie	SG	25	PHO	32	11.0	19.4	1.7	4.3	0.397	0.5	2.0	0.234	1.2	2.3	0.542	0.452	1.8	2.4	0.763	1.4	1.5	2.8	1.3	1.0	0.5	0.7	1.7	5.7
351.0	Onyeka	Okongwu	C	23	ATL	35	3.0	24.9	3.7	6.2	0.593	0.4	1.3	0.295	3.3	4.9	0.669	0.623	1.9	2.3	0.825	2.5	4.3	6.8	1.4	0.5	1.0	0.7	2.8	9.6
352.0	Isaac	Okoro	SF	23	CLE	28	17.0	26.1	3.1	6.3	0.491	0.9	2.5	0.366	2.1	3.7	0.577	0.566	1.6	2.2	0.71	1.4	2.0	3.4	2.0	0.8	0.4	0.9	2.3	8.6
353.0	Kelly	Olynyk	C	32	UTA	37	8.0	21.3	2.9	5.2	0.565	0.8	1.8	0.433	2.1	3.4	0.637	0.641	1.5	1.8	0.877	1.4	3.7	5.1	4.5	0.9	0.3	1.7	2.7	8.2
354.0	Eugene	Omoruyi	SF	26	WAS	19	0.0	5.8	1.7	2.9	0.582	0.3	0.9	0.294	1.4	2.0	0.711	0.627	0.8	1.1	0.762	0.6	0.9	1.5	0.6	0.5	0.1	0.5	1.1	4.5
355.0	Cedi	Osman	SF	28	SAS	36	1.0	18.5	2.9	6.1	0.47	1.2	3.3	0.356	1.7	2.8	0.604	0.566	0.8	1.1	0.675	0.4	2.2	2.6	1.9	0.5	0.1	0.6	1.5	7.6
356.0	Kelly	Oubre	Jr.	SF	28	PHI	25.0	14.0	27.2	5.0	10.6	0.466	1.7	4.7	0.364	3.2	5.9	0.547	0.547	1.8	2.4	0.738	1.0	3.1	4.2	1.1	1.2	0.4	0.9	2.4
357.0	Chris	Paul	PG	38	GSW	32	11.0	27.6	3.3	7.7	0.424	1.3	3.7	0.361	1.9	3.9	0.484	0.512	1.1	1.3	0.833	0.3	3.5	3.8	7.2	1.1	0.1	1.2	1.8	8.9
358.0	Cameron	Payne	PG	29	MIL	37	2.0	15.4	2.1	4.6	0.459	1.1	2.8	0.382	1.1	1.8	0.574	0.574	0.8	0.9	0.886	0.1	1.1	1.2	2.4	0.4	0.1	0.8	1.7	6.1
359.0	Gary	Payton	II	SG	31	GSW	16.0	0.0	16.3	2.3	4.9	0.456	0.6	2.0	0.281	1.7	2.9	0.574	0.513	0.4	0.6	0.667	1.0	2.0	3.0	0.8	1.1	0.3	0.6	1.8
362.0	Julian	Phillips	SF	20	CHI	21	0.0	4.5	0.4	1.1	0.333	0.0	0.6	0.083	0.3	0.6	0.583	0.354	0.0	0.2	0.25	0.1	0.4	0.5	0.3	0.0	0.1	0.1	0.6	0.9
